gene_id,DRR546743,DRR546744,DRR546790,SRR2960319,SRR5889337,SRR8996966,SRR8996977,SRR8997009
gene-LOC100684726|LOC100684726,49,29,87,78,0,201,809,91
gene-RBM15|RBM15,110,117,118,251,0,294,416,0
gene-LOC102152748|LOC102152748,0,0,0,0,0,0,5,0
gene-SLC16A4|SLC16A4,1982,661,752,7102,0,3360,6629,0
gene-LOC119872433|LOC119872433,2,0,1,8,0,2,3,0
gene-LOC106558924|LOC106558924,6,0,3,3,0,0,9,0
gene-SLC6A17|SLC6A17,0,0,5,0,0,8,58,0
gene-STRIP1|STRIP1,291,403,570,1229,0,1181,2566,0
gene-AHCYL1|AHCYL1,3229,4589,3887,9019,0,7622,12747,0
gene-LOC102153976|LOC102153976,14,31,80,29,0,60,191,0
gene-CSF1|CSF1,598,490,1016,3300,0,2146,5622,0
gene-LOC479911|LOC479911,115,3539,3943,7382,19,10126,4206,1025
gene-LOC111096348|LOC111096348,0,0,0,11,0,0,0,0
gene-LOC111096505|LOC111096505,0,0,20,15,0,11,6,0
gene-GNAT2|GNAT2,5,5,26,30,0,48,46,0
gene-MIR197|MIR197,1,1,2,2,0,8,8,0
rna-NR_049339.1|MIR197,1,1,1,1,0,1,1,0
gene-LOC479912|LOC479912,9460,12506,15588,39334,57,147434,44127,31
gene-AMPD2|AMPD2,943,2837,2568,6877,0,5093,8901,0
gene-LOC111096349|LOC111096349,19,8,22,69,0,60,61,0
gene-GNAI3|GNAI3,1579,2567,2961,3119,0,4199,12766,0
gene-LOC119872239|LOC119872239,0,0,0,0,0,0,0,0
gene-SYPL2|SYPL2,0,7,0,34,0,0,8,0
gene-AMIGO1|AMIGO1,790,3593,1218,3792,0,5474,5844,0
gene-LOC111096351|LOC111096351,1,0,0,30,0,14,41,0
gene-ATXN7L2|ATXN7L2,25,39,111,231,0,229,381,0
gene-CYB561D1|CYB561D1,56,99,157,234,0,387,626,0
gene-LOC111096352|LOC111096352,0,0,8,6,0,0,36,0
gene-LOC111096353|LOC111096353,5,0,12,12,0,32,18,0
gene-LOC100856328|LOC100856328,23,25,48,40,0,107,87,0
gene-PSMA5|PSMA5,818,1066,1405,2215,10,3077,8847,0
gene-PSRC1|PSRC1,67,294,117,41,0,138,585,0
gene-CELSR2|CELSR2,16,22,14,197,0,107,257,0
gene-SORT1|SORT1,3418,4599,5218,10081,0,11529,17035,0
gene-C6H1orf194|C6H1orf194,0,0,0,15,0,16,74,0
gene-LOC119872424|LOC119872424,7,2,33,53,0,6,16,0
gene-ELAPOR1|ELAPOR1,5,0,6,26,0,27,80,0
gene-SARS1|SARS1,1052,3806,1538,3802,0,4290,8453,0
gene-LOC119872241|LOC119872241,12,20,13,22,0,11,56,0
gene-TMEM167B|TMEM167B,1233,894,1827,2296,0,3569,8090,0
gene-TAF13|TAF13,230,178,392,721,0,855,3894,848
gene-LOC119876211|LOC119876211,0,0,0,0,0,0,0,0
gene-WDR47|WDR47,67,95,253,147,0,239,885,0
gene-LOC106558950|LOC106558950,3,0,18,10,0,14,42,0
gene-CLCC1|CLCC1,237,368,638,691,0,733,2953,0
gene-GPSM2|GPSM2,161,641,693,342,0,342,1390,6
gene-LOC111096355|LOC111096355,8,0,0,2,0,3,17,0
gene-FNDC7|FNDC7,0,0,0,0,0,0,0,0
gene-STXBP3|STXBP3,711,609,1107,986,0,1464,4233,0
gene-PRPF38B|PRPF38B,405,831,1214,1778,0,1715,4423,0
gene-LOC611891|LOC611891,0,0,0,0,0,0,0,0
gene-LOC106558951|LOC106558951,0,0,0,0,0,0,0,0
gene-LOC111095015|LOC111095015,0,0,0,0,0,0,0,0
gene-LOC119876823|LOC119876823,0,0,0,0,0,0,0,0
gene-MIR8799E-1|MIR8799E-1,0,0,0,0,0,0,0,0
rna-NR_128827.1|MIR8799E-1,0,0,0,0,0,0,0,0
gene-HENMT1|HENMT1,6,7,13,18,0,16,167,0
gene-LOC119872243|LOC119872243,2,0,6,3,0,0,60,0
gene-FAM102B|FAM102B,426,907,1179,745,0,967,2954,0
gene-LOC611915|LOC611915,0,0,0,3,0,13,37,0
gene-LOC111096357|LOC111096357,0,0,0,0,0,0,0,0
gene-SLC25A24|SLC25A24,266,245,1088,421,0,466,4017,0
gene-LOC102151888|LOC102151888,0,0,0,0,0,0,9,0
gene-PRMT6|PRMT6,134,515,364,755,3,331,645,7
gene-VAV3|VAV3,181,59,263,451,8,214,2400,0
gene-LOC119872245|LOC119872245,0,0,0,0,0,0,0,0
gene-LOC119872246|LOC119872246,10,11,12,0,0,47,9,0
gene-LOC119876835|LOC119876835,3,0,33,9,0,26,42,0
gene-LOC119872250|LOC119872250,0,0,0,0,0,0,7,0
gene-LOC111096510|LOC111096510,4,2,1,3,0,0,1,0
gene-LOC100685796|LOC100685796,3,3,2,4,2,5,28,0
gene-RNPC3|RNPC3,602,1235,1304,3053,0,1653,3893,0
gene-LOC607460|LOC607460,4506,8236,4878,24725,19,11293,18219,0
gene-LOC102152658|LOC102152658,75,105,262,596,0,323,741,0
gene-LOC119872351|LOC119872351,5,15,322,10,0,9,2049,0
gene-LOC106558952|LOC106558952,0,0,0,2,0,0,14,0
gene-OLFM3|OLFM3,0,0,9,0,0,3,0,0
gene-LOC119872353|LOC119872353,3,1,3,5,0,1,4,0
gene-LOC102153396|LOC102153396,147,42,43,123,0,261,77,0
gene-LOC111096368|LOC111096368,0,0,0,0,0,0,0,0
gene-LOC119872436|LOC119872436,0,2,0,0,0,1,7,0
gene-DPH5|DPH5,415,658,334,949,9,1154,3235,11
gene-LOC111096514|LOC111096514,0,0,0,0,0,0,23,0
gene-LOC119872381|LOC119872381,0,2,1,13,0,0,9,0
gene-EXTL2|EXTL2,481,544,829,460,0,1511,6340,0
gene-SLC30A7|SLC30A7,1140,1143,1658,2191,0,2186,7345,0
gene-LOC119872253|LOC119872253,0,0,0,0,0,0,0,0
gene-VCAM1|VCAM1,1444,983,1101,2384,0,3371,10879,0
gene-CDC14A|CDC14A,277,181,185,397,0,570,1826,0
gene-GPR88|GPR88,2,0,6,5,0,0,0,0
gene-RTCA|RTCA,340,517,674,799,0,891,3966,0
gene-DBT|DBT,826,987,1022,887,0,1018,3025,0
gene-LRRC39|LRRC39,2,0,111,111,0,107,35,0
gene-SASS6|SASS6,139,237,289,68,0,157,693,0
gene-LOC119876382|LOC119876382,0,0,0,0,0,0,0,0
gene-TRMT13|TRMT13,161,155,461,432,0,597,1184,0
gene-MFSD14A|MFSD14A,1876,1082,1642,1444,0,2221,6924,0
gene-SLC35A3|SLC35A3,1094,840,1553,843,0,1220,3496,0
gene-LOC119872430|LOC119872430,0,0,2,0,0,1,0,0
gene-AGL|AGL,5013,3441,4340,2738,4,2384,3973,2
gene-FRRS1|FRRS1,1386,406,888,644,0,963,2709,0
gene-LOC119872255|LOC119872255,7,0,10,12,0,17,27,0
gene-LOC100687197|LOC100687197,0,2,0,0,0,2,0,0
gene-LOC119872463|LOC119872463,0,0,0,0,0,0,0,0
gene-PALMD|PALMD,2134,4413,3465,1466,0,4174,13182,0
gene-SNX7|SNX7,885,858,865,979,0,1677,4140,0
gene-PTBP2|PTBP2,150,176,625,405,0,598,1351,0
gene-LOC119872358|LOC119872358,4,0,3,0,0,0,22,0
gene-LOC102156348|LOC102156348,0,0,0,0,0,0,0,0
gene-LOC106558956|LOC106558956,41,0,36,6,0,25,56,0
gene-LOC102156097|LOC102156097,75,35,178,6,0,13,9,0
gene-LOC111096377|LOC111096377,0,0,0,0,0,0,0,0
gene-LOC111096378|LOC111096378,0,0,0,0,0,0,0,0
gene-RWDD3|RWDD3,233,68,345,129,0,394,1013,0
gene-LOC111096380|LOC111096380,44,4,33,8,0,56,59,0
gene-LOC111096372|LOC111096372,84,0,15,31,0,64,409,0
gene-LOC119872447|LOC119872447,0,0,0,0,0,0,0,0
gene-DPYD|DPYD,18546,6093,6979,14522,15,22082,52885,22
gene-LOC102157243|LOC102157243,0,0,4,4,0,0,0,0
gene-LOC119872442|LOC119872442,0,0,0,0,0,0,0,0
gene-LOC119872457|LOC119872457,1,0,0,1,0,0,0,0
gene-LOC100684252|LOC100684252,12,15,13,12,3,10,8,0
gene-LOC106558953|LOC106558953,1,0,5,2,0,0,0,0
gene-LOC119872356|LOC119872356,4,0,2,0,0,6,52,0
gene-LOC490151|LOC490151,2100,429,1088,1874,0,2778,13167,0
gene-LOC119872260|LOC119872260,0,0,0,0,0,0,0,0
gene-LOC119872429|LOC119872429,0,0,1,0,0,0,0,0
gene-ALG14|ALG14,256,367,251,505,0,668,805,0
gene-LOC106558958|LOC106558958,0,0,0,0,0,0,30,0
gene-LOC119876882|LOC119876882,0,0,0,9,0,42,34,0
gene-SLC44A3|SLC44A3,176,31,27,152,0,230,61,0
gene-CNN3|CNN3,2097,2333,3025,7825,0,4631,16556,0
gene-LOC102151292|LOC102151292,0,3,4,12,0,3,6,0
gene-LOC119872390|LOC119872390,0,0,0,0,0,0,0,0
gene-LOC119872262|LOC119872262,32,9,0,6,0,41,41,0
gene-LOC106558959|LOC106558959,11,0,0,3,0,0,20,0
gene-F3|F3,137,9,238,703,0,315,1012,0
gene-LOC102151598|LOC102151598,0,4,2,7,0,0,12,0
gene-ABCD3|ABCD3,8080,7037,14241,9432,14,21363,60581,14
gene-ARHGAP29|ARHGAP29,1454,2435,2502,2157,0,2802,10315,0
gene-LOC100688708|LOC100688708,0,0,0,0,0,0,0,0
gene-LOC111096391|LOC111096391,0,0,0,0,0,0,0,0
gene-LOC119876883|LOC119876883,14,0,17,10,0,0,56,0
gene-LOC111096390|LOC111096390,0,0,0,30,0,0,6,0
gene-ABCA4|ABCA4,32,70,179,2063,0,222,886,0
gene-LOC119872267|LOC119872267,0,16,12,9,0,6,0,0
gene-LOC111096389|LOC111096389,21,9,22,8,0,90,67,0
gene-TRNAR-UCU-3|TRNAR-UCU,0,0,0,0,0,0,0,0
gene-DNTTIP2|DNTTIP2,1378,2494,2165,1210,0,1820,6798,0
gene-GCLM|GCLM,12491,7847,8614,17589,7,26096,18579,0
gene-BCAR3|BCAR3,680,1091,1220,6424,0,1646,5080,0
gene-LOC111096393|LOC111096393,0,0,0,0,0,0,0,0
gene-LOC111096392|LOC111096392,16,16,36,403,0,61,383,0
gene-FNBP1L|FNBP1L,417,309,819,478,0,636,2796,0
gene-LOC100688907|LOC100688907,24,18,21,11,0,37,81,0
gene-DR1|DR1,472,550,1014,873,0,1255,3782,0
gene-LOC111096520|LOC111096520,0,0,0,0,0,0,0,0
gene-CCDC18|CCDC18,149,96,677,355,0,491,712,0
gene-MTF2|MTF2,193,213,461,291,0,489,1425,0
gene-TMED5|TMED5,5807,5485,7284,4404,6,6639,28815,0
gene-GFI1|GFI1,0,0,13,75,0,31,319,0
gene-LOC119872311|LOC119872311,8,4,3,7,0,8,6,0
gene-EVI5|EVI5,1688,1056,1953,859,0,1857,4747,0
gene-LOC100682846|LOC100682846,0,0,31,0,0,0,0,0
gene-DIPK1A|DIPK1A,2200,1064,3147,1503,0,2026,7782,0
gene-RPL5|RPL5,21710,30317,30223,35720,11,59579,86794,6
gene-LOC119872406|LOC119872406,3,1,4,5,0,2,20,0
gene-LOC119872403|LOC119872403,1,0,2,0,0,0,1,0
gene-RPAP2|RPAP2,164,184,184,179,349,317,1101,346
gene-GLMN|GLMN,219,146,327,194,0,561,2116,0
gene-C6H1orf146|C6H1orf146,0,0,5,0,0,2,12,0
gene-LOC111096395|LOC111096395,0,0,0,0,0,0,0,0
gene-LOC111096396|LOC111096396,0,0,0,5,0,0,0,0
gene-BTBD8|BTBD8,782,965,539,641,0,1162,964,0
gene-LOC106558963|LOC106558963,0,0,0,3,0,0,0,0
gene-LOC119872271|LOC119872271,0,19,5,8,0,19,3,0
gene-CDC7|CDC7,99,130,399,119,0,426,1216,0
gene-TGFBR3|TGFBR3,881,307,1448,2088,0,2221,13299,0
gene-LOC106558962|LOC106558962,0,0,0,0,0,0,0,0
gene-LOC119872270|LOC119872270,0,0,0,0,0,0,0,0
gene-LOC111096398|LOC111096398,0,0,0,0,0,0,0,0
gene-LOC119872272|LOC119872272,144,68,103,187,0,381,599,0
gene-ZNF644|ZNF644,499,471,919,408,0,877,2601,0
gene-LOC119872382|LOC119872382,0,0,0,4,0,0,0,0
gene-LOC106558964|LOC106558964,0,0,0,1,0,0,0,0
gene-LOC111096402|LOC111096402,1,0,5,2,0,1,2,0
gene-LOC106558971|LOC106558971,0,0,0,3,0,0,7,0
gene-LOC119872428|LOC119872428,0,0,0,0,0,0,0,0
gene-ZNF326|ZNF326,854,1367,1582,2729,0,3112,6264,0
gene-LOC111096522|LOC111096522,0,0,0,0,0,3,0,0
gene-LRRC8D|LRRC8D,1002,711,1205,2115,0,972,2813,0
gene-LRRC8C|LRRC8C,107,166,307,294,0,175,2117,0
gene-GBP6|GBP6,240,24,176,414,0,235,2443,0
gene-LOC100683918|LOC100683918,0,0,0,0,0,0,0,0
gene-LRRC8B|LRRC8B,1848,1592,1227,1635,0,2002,5818,0
gene-LOC111096405|LOC111096405,0,0,0,7,0,0,28,0
gene-LOC102157357|LOC102157357,3,0,5,0,0,8,16,0
gene-GBP5|GBP5,26,0,8,37,0,38,711,0
gene-LOC119872275|LOC119872275,0,13,13,5,0,23,39,0
gene-LOC612422|LOC612422,3331,854,1833,2972,3,3207,37270,0
gene-LOC119872277|LOC119872277,8,4,9,22,0,19,62,0
gene-GBP1|GBP1,658,84,233,378,0,324,7333,0
gene-LOC119872446|LOC119872446,0,0,2,0,0,1,0,0
gene-KYAT3|KYAT3,1177,212,1092,816,11,2223,11077,0
gene-LOC490173|LOC490173,24,23,54,5,16,35,42,13
gene-LOC111096410|LOC111096410,0,0,3,6,0,5,28,0
gene-GTF2B|GTF2B,439,492,582,1039,0,1433,6002,0
gene-PKN2|PKN2,682,977,1368,861,0,1116,3936,0
gene-LOC119872278|LOC119872278,0,0,4,0,0,0,11,0
gene-LOC102152083|LOC102152083,0,0,17,9,0,0,70,0
gene-LOC111096412|LOC111096412,0,0,4,0,0,0,0,0
gene-LMO4|LMO4,305,273,1004,902,0,1464,4248,0
gene-HS2ST1|HS2ST1,553,714,1326,1009,0,1122,2677,0
gene-LOC100684497|LOC100684497,3,4,2,1,0,3,13,1
gene-LOC100688578|LOC100688578,5,6,5,6,1,8,11,2
gene-LOC111096415|LOC111096415,0,0,0,0,0,0,0,0
gene-SELENOF|SELENOF,2694,2021,5878,4969,17,9442,31587,0
gene-LOC111096416|LOC111096416,0,5,13,6,0,0,62,0
gene-SH3GLB1|SH3GLB1,915,1257,1454,1756,0,2283,7767,0
gene-LOC102152701|LOC102152701,8,0,19,4,0,32,20,0
gene-CLCA4|CLCA4,0,0,9,7,0,24,41,0
gene-CLCA1|CLCA1,0,5,0,13,0,0,0,0
gene-ZNHIT6|ZNHIT6,176,383,320,597,0,762,2071,0
gene-CCN1|CCN1,151,109,5068,399,0,288,1791,0
gene-LOC111096417|LOC111096417,0,0,0,0,0,0,0,0
gene-LOC111096418|LOC111096418,0,0,0,0,0,0,0,0
gene-LOC612981|LOC612981,0,0,0,0,0,0,1,0
gene-LOC100688788|LOC100688788,15,16,5,1,0,3,4,0
gene-COL24A1|COL24A1,4,0,3,3,0,0,13,0
gene-BCL10|BCL10,365,248,593,267,0,560,2368,0
gene-LOC119872282|LOC119872282,0,0,0,0,0,0,0,0
gene-DDAH1|DDAH1,1904,3205,948,3174,0,6226,5898,0
gene-C6H1orf52|C6H1orf52,200,191,321,430,0,796,1756,0
gene-SYDE2|SYDE2,744,573,791,232,0,925,1494,0
gene-DNAI3|DNAI3,16,0,11,29,0,76,34,0
gene-LOC100682916|LOC100682916,0,0,0,0,0,0,0,0
gene-LOC119872389|LOC119872389,0,0,0,0,0,0,0,0
gene-MCOLN3|MCOLN3,0,0,29,0,0,91,152,0
gene-MCOLN2|MCOLN2,19,20,67,144,0,27,209,0
gene-LPAR3|LPAR3,0,11,6,63,0,0,66,0
gene-LOC119872388|LOC119872388,0,0,2,0,0,0,0,0
gene-LOC111096424|LOC111096424,0,0,0,0,0,0,0,0
gene-LOC119872283|LOC119872283,0,0,0,0,0,0,0,0
gene-LOC111096423|LOC111096423,0,0,0,0,0,0,0,0
gene-LOC102151293|LOC102151293,2,8,4,4,0,2,7,2
gene-SSX2IP|SSX2IP,80,76,160,33,0,77,345,0
gene-LOC102155779|LOC102155779,0,0,0,0,0,0,0,0
gene-LOC119872452|LOC119872452,0,0,0,0,0,0,0,0
gene-LOC479969|LOC479969,422,244,563,338,0,818,1284,0
gene-DNASE2B|DNASE2B,406,70,60,269,0,998,288,0
gene-LOC111096427|LOC111096427,0,0,3,0,0,0,11,0
gene-CTBS|CTBS,0,0,5,5,0,0,12,0
gene-SPATA1|SPATA1,133,64,293,198,0,286,1032,0
gene-GNG5|GNG5,1769,1927,1986,2280,286,4511,15871,206
gene-RPF1|RPF1,850,876,1129,1483,132,2693,6530,68
gene-LOC102156327|LOC102156327,19,8,7,10,0,14,99,0
gene-SAMD13|SAMD13,33,85,39,25,0,140,93,0
gene-UOX|UOX,6036,326,1955,4730,28,30161,880,26
gene-LOC102151491|LOC102151491,5,0,34,6,0,13,74,0
gene-TTLL7|TTLL7,9,181,91,9,0,45,195,0
gene-PRKACB|PRKACB,1828,1170,1503,1572,0,2026,7146,0
gene-LOC111096429|LOC111096429,0,0,0,0,0,0,0,0
gene-LOC100685921|LOC100685921,5,3,4,9,1,2,37,1
gene-LOC119876267|LOC119876267,0,10,26,14,0,0,23,0
gene-LOC119872398|LOC119872398,0,0,0,0,0,0,0,0
gene-LOC111096435|LOC111096435,37,0,0,9,0,32,241,0
gene-ADGRL2|ADGRL2,1315,1848,2310,4344,0,4249,14510,0
gene-LOC119872370|LOC119872370,0,0,0,0,0,0,0,0
gene-ADGRL4|ADGRL4,776,94,686,534,0,1000,10188,0
gene-IFI44|IFI44,5277,2091,1949,4216,0,7366,26155,0
gene-IFI44L|IFI44L,1604,535,691,2367,0,3961,12828,0
gene-LOC119872392|LOC119872392,0,0,0,0,0,0,0,0
gene-LOC100684524|LOC100684524,0,0,0,0,0,0,0,0
gene-GIPC2|GIPC2,260,2,21,555,0,1895,940,0
gene-MIGA1|MIGA1,201,196,702,281,0,497,1529,0
gene-TRNAR-CCU-6|TRNAR-CCU,0,0,0,0,0,0,0,0
gene-LOC111096443|LOC111096443,21,6,28,9,0,4,3,0
gene-DNAJB4|DNAJB4,586,278,1296,2533,0,3550,4113,0
gene-LOC119872402|LOC119872402,0,0,1,1,0,0,0,0
gene-LOC111096442|LOC111096442,0,0,0,2,0,0,1,0
gene-FUBP1|FUBP1,545,874,1449,1961,0,1802,5462,0
gene-NEXN|NEXN,11,20,77,14,0,372,433,0
gene-USP33|USP33,906,852,1049,779,0,1107,4599,0
gene-LOC119872371|LOC119872371,0,0,0,0,0,11,9,0
gene-LOC119872412|LOC119872412,0,1,1,1,0,0,1,0
gene-ZZZ3|ZZZ3,1099,1306,1612,1461,0,2160,5328,3
gene-PIGK|PIGK,1867,2174,1562,2292,0,3995,9105,0
gene-LOC100687168|LOC100687168,2,7,2,1,0,0,1,0
gene-ST6GALNAC3|ST6GALNAC3,30,19,12,5,0,0,155,0
gene-LOC102151522|LOC102151522,0,0,0,0,0,0,0,0
gene-LOC119872288|LOC119872288,0,0,0,0,0,0,0,0
gene-LOC111096446|LOC111096446,0,0,0,0,0,0,0,0
gene-LOC119872410|LOC119872410,0,0,2,3,0,1,2,0
gene-RABGGTB|RABGGTB,2530,1609,2271,4616,0,5614,10268,0
gene-LOC119872411|LOC119872411,3,3,6,13,0,2,14,0
gene-LOC119872413|LOC119872413,7,9,15,50,0,17,49,0
gene-LOC119872372|LOC119872372,5,0,2,0,0,3,3,0
gene-SLC44A5|SLC44A5,0,9,0,0,0,57,0,0
gene-LOC119872455|LOC119872455,0,0,0,0,0,0,0,0
gene-ACADM|ACADM,9981,9003,11240,22359,44,49030,73002,21
gene-ERICH3|ERICH3,19,21,10,129,0,15,58,0
gene-LRRIQ3|LRRIQ3,0,5,14,0,0,0,0,0
gene-FPGT|FPGT,320,237,443,233,0,374,980,0
gene-TYW3|TYW3,99,52,327,122,0,333,820,0
gene-CRYZ|CRYZ,15283,7542,9926,15799,11608,25830,12774,14682
gene-LOC102155681|LOC102155681,0,4,0,13,0,34,31,0
gene-LOC102155681-2|LOC102155681,35,163,89,164,0,315,311,0
gene-MIR186|MIR186,0,0,2,3,0,0,0,0
rna-NR_049335.1|MIR186,0,0,1,1,0,0,0,0
gene-ZRANB2|ZRANB2,526,615,2232,1887,0,2635,4794,0
gene-LOC119872293|LOC119872293,19,0,47,43,0,33,0,0
gene-PTGER3|PTGER3,0,0,49,26,0,244,553,0
gene-LOC111096459|LOC111096459,0,0,2,0,0,3,0,0
gene-LOC111096460|LOC111096460,0,0,2,0,0,0,0,0
gene-LOC119872292|LOC119872292,6,0,87,9,0,104,536,0
gene-ANKRD13C|ANKRD13C,771,603,1132,896,0,2791,5435,0
gene-CTH|CTH,6726,5353,3283,4534,28,33888,14372,11
gene-LOC119872401|LOC119872401,0,1,1,0,0,0,2,0
gene-LRRC40|LRRC40,889,730,1491,1146,0,1559,4269,0
gene-SRSF11|SRSF11,1088,1160,3249,4512,0,3708,7639,0
gene-LOC119877009|LOC119877009,5,8,4,11,0,19,68,0
gene-RPE65|RPE65,0,0,0,0,0,0,4,0
gene-LOC119872375|LOC119872375,0,3,0,0,0,0,13,0
gene-LOC111096463|LOC111096463,0,0,0,0,0,9,21,0
gene-DEPDC1|DEPDC1,49,120,265,12,0,0,214,0
gene-WLS|WLS,2100,967,4817,7933,0,8449,13491,0
gene-GNG12|GNG12,1073,986,1153,2650,0,3400,7210,0
gene-LOC119872296|LOC119872296,6,18,18,244,0,181,158,0
gene-GADD45A|GADD45A,2281,1344,3319,32483,7,17239,22044,17
gene-LOC119872297|LOC119872297,9,11,27,249,0,600,2070,0
gene-LOC102156543|LOC102156543,27,71,27,490,0,1172,1485,0
gene-LOC119872298|LOC119872298,0,16,0,54,0,149,436,0
gene-LOC106558979|LOC106558979,0,37,65,1197,0,474,306,0
gene-CHI3L1|CHI3L1,14,34,1081,20,0,36,782,0
gene-MYBPH|MYBPH,0,0,68,0,0,4,14,0
gene-PPFIA4|PPFIA4,21,5,75,203,0,67,119,0
gene-TMEM183A|TMEM183A,1201,1315,1951,2053,0,2154,5532,0
gene-LOC100682872|LOC100682872,5,0,0,0,0,3,0,0
gene-LOC111096575|LOC111096575,0,0,0,0,0,0,0,0
gene-MGAT4F|MGAT4F,0,0,0,0,0,0,0,0
gene-LOC111096577|LOC111096577,12,11,61,65,0,59,311,0
gene-CYB5R1|CYB5R1,913,431,1825,2960,0,3737,5980,0
gene-KLHL12|KLHL12,171,253,333,614,0,731,1929,0
gene-ADIPOR1|ADIPOR1,4868,2722,3006,6577,13,6997,16658,0
gene-LOC100855995|LOC100855995,23,123,86,25,0,13,107,0
gene-LOC119872474|LOC119872474,0,5,9,0,0,0,0,0
gene-RABIF|RABIF,612,1096,1104,1400,0,1162,5083,0
gene-SYT2|SYT2,56,0,0,0,0,5,0,0
gene-LOC119872475|LOC119872475,2,0,0,0,0,0,0,0
gene-KDM5B|KDM5B,492,1742,1139,1605,0,1804,3250,0
gene-UBE2T|UBE2T,71,173,119,120,0,236,892,0
gene-PPP1R12B|PPP1R12B,96,255,246,580,0,669,931,0
gene-LOC102154785|LOC102154785,0,0,0,0,0,0,0,0
gene-LOC111096579|LOC111096579,0,0,0,0,0,0,0,0
gene-LOC607201|LOC607201,0,0,0,0,0,3,51,0
gene-PTPN7|PTPN7,43,30,96,166,0,119,1030,0
gene-ARL8A|ARL8A,542,112,720,1065,0,370,3236,0
gene-LOC100684738|LOC100684738,196,274,264,69,0,71,148,0
gene-ELF3|ELF3,265,426,850,536,0,567,2337,0
gene-RNPEP|RNPEP,422,376,613,1677,7,1184,4613,0
gene-LOC106558984|LOC106558984,0,1,0,1,0,0,0,2
gene-LOC111096581|LOC111096581,0,0,8,3,0,0,0,0
gene-TIMM17A|TIMM17A,300,324,606,830,62,1044,2624,76
gene-LOC111096582|LOC111096582,0,0,6,16,0,2,24,0
gene-SHISA4|SHISA4,97,33,105,292,0,176,751,0
gene-LOC119872477|LOC119872477,0,0,7,6,0,6,2,0
gene-LOC119872476|LOC119872476,0,0,0,0,0,0,0,0
gene-LOC111096573|LOC111096573,0,0,2,1,0,0,0,0
gene-LMOD1|LMOD1,75,86,370,633,0,614,1755,0
gene-IPO9|IPO9,1042,1554,1604,2936,0,2461,4617,3
gene-LOC102156100|LOC102156100,4,3,20,20,0,41,159,0
gene-NAV1|NAV1,134,246,382,716,0,393,2460,0
gene-LOC119872478|LOC119872478,0,0,0,0,0,0,0,0
gene-PHLDA3|PHLDA3,85,154,523,2127,0,332,1436,0
gene-CSRP1|CSRP1,930,556,2049,5684,5,8174,25626,0
gene-LAD1|LAD1,12,179,32,43,0,34,256,0
gene-TNNT2|TNNT2,11,27,74,18,0,47,151,0
gene-LOC100855890|LOC100855890,137,144,187,240,55,274,659,28
gene-LOC102157043|LOC102157043,0,0,0,0,0,0,0,0
gene-TMEM9|TMEM9,340,206,261,1569,0,1669,2053,0
gene-CACNA1S|CACNA1S,0,0,7,40,0,30,5,0
gene-LOC111096587|LOC111096587,0,0,0,0,0,0,0,0
gene-KIF21B|KIF21B,47,44,92,519,0,135,1034,0
gene-CAMSAP2|CAMSAP2,456,584,723,586,0,957,3035,0
gene-LOC111096589|LOC111096589,0,0,0,0,0,0,0,0
gene-LOC111096591|LOC111096591,0,0,0,0,0,0,0,0
gene-LOC111096590|LOC111096590,0,0,0,0,0,0,0,0
gene-DDX59|DDX59,244,505,298,257,0,566,1615,0
gene-KIF14|KIF14,47,65,116,9,0,6,258,0
gene-ZNF281|ZNF281,576,573,928,1309,0,2267,4045,0
gene-LOC119872652|LOC119872652,15,45,15,7,0,80,37,0
gene-LOC119872768|LOC119872768,1,1,4,3,1,24,1,7
gene-LOC111096593|LOC111096593,50,209,93,135,0,186,510,0
gene-LOC100683120|LOC100683120,2,0,0,0,0,0,0,0
gene-NR5A2|NR5A2,715,2013,996,1603,0,2293,4514,0
gene-LOC111096595|LOC111096595,0,0,2,6,0,4,30,0
gene-LOC119872481|LOC119872481,0,0,0,4,0,0,0,0
gene-LOC102152898|LOC102152898,0,0,0,0,0,0,9,0
gene-LOC106559011|LOC106559011,2,8,1,1,1,0,1,0
rna-NR_049352.1|MIR181A-1,1,0,0,0,0,0,0,0
gene-MIR181A-1|MIR181A-1,1,0,0,0,0,0,0,0
rna-NR_049353.1|MIR181B-1,1,0,0,1,0,1,0,0
gene-MIR181B-1|MIR181B-1,1,0,0,1,0,1,0,0
gene-LOC102152940|LOC102152940,8,0,0,14,0,16,54,0
gene-ATP6V1G3|ATP6V1G3,0,0,0,0,0,0,0,0
gene-PTPRC|PTPRC,748,384,1355,1554,7,995,19035,0
gene-C7H1orf53|C7H1orf53,45,7,42,43,0,68,177,0
gene-NEK7|NEK7,2015,1267,3103,2715,0,3484,12436,0
gene-LOC119872482|LOC119872482,0,6,0,11,0,0,8,0
gene-LOC102153978|LOC102153978,573,734,365,1122,273,898,724,139
gene-LOC102154048|LOC102154048,12,8,11,26,0,3,47,0
gene-LOC111096599|LOC111096599,0,0,0,0,0,0,0,0
gene-DENND1B|DENND1B,922,632,636,522,0,938,1882,0
gene-LOC111096598|LOC111096598,1,3,16,4,0,0,0,0
gene-ZBTB41|ZBTB41,304,170,584,297,0,435,1677,0
gene-LOC106559013|LOC106559013,0,0,14,12,0,0,32,0
gene-ASPM|ASPM,69,281,293,32,5,24,517,0
gene-LOC119872753|LOC119872753,0,0,0,6,0,0,0,0
